manufacture,ASIN,description
Skybags 22,B0B21Z3DBD,ltrs (16 Cms) backpack(BPFLE22EBTH_Blith) 
18 L,B09ZL3SCTQ,Multicolour Printed Drawstring Polyester Multi Utility Bag for Sports/Gym/Yoga/College/Casual Backpack – Light Weight/Washable 
Aristocrat Unisex,B09ZV86P4S,Black Oxford Fabric 28.82L Laptop Bags 
Gear Parker,B097KCMQKG,23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black 
Nivia Pulse,B08D7QKCX5,Junior Bag (Orange) 
House of,B07QV7SH4S,Quirk Baby Diaper Bag Maternity Backpack (Blue Elephant Printed) 
MOKOBARA The,B0C9J8JJ6C,"Work Backpack - II Black Nylon Water Resistant (16"") Laptop | Work | Travel Bag for Men and Women "
LOOKMUSTER Casual,B0BS6YGKMC,Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack… 
F Gear,B08QM71P12,Enzo Sports Waist Bag (Enzo Spruce Yellow) 
NIVIA Beast,B07NJGW3WX,Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit (Navy Blue) 
Tabelito® DELTA,B0BLK1Z7DQ,"Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, (6 Month Warranty) "
Chic Buddy,B09KSBHC18,"Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries "
uppercase SealPro,B0BR1C59R8,"Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty "
Puma Laptop,B07D5QZ76G,"Backpack (7548709, Limoges, 22 Ltrs) "
DZert Clasy,B07GXYHFCY,Laptop Bag College Bag for Boys Girls 21 L Blue White 
Red Lemon,B09RK4BRPM,"Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls "
Genie Fringe,B097JJ64SH,"Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres "
Half Moon,B09QM9N1B3,30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls 
AUXTER Faux,B07F2H25NP,Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black) 
Fast Travel,B09VCQWRC4,"45 Ltrs, 46 cms School Bag Class 5-12 Large 4 partition Laptop Collage Office Travel Backpack Unisex "
Chic Buddy,B0B25B5PB6,"Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries "
Wooum Sling,B0993Q72WD,Cross Body Bag/One Side Bag/Shoulder Bag/Office Business Messenger Bag/Money Bag for Men and Women - Water Resisitance 
Lavie Sport,B09YCSCRBW,Chairman Backpack with Laptop Sleeve | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook 
Pramadda Pure,B0C6NNPZTC,Luxury Milan Casual Vegan Leather 15.6 inch Laptop Backpack for Men and Women | Stylish School College Office Travel Bagpacks | Trendy Office Laptop Bag For Men. (Classic Black) 
