product_name,price,rating,Number_of_Reviews,Product_url
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,₹415,4.0 out of 5 stars,121,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679,4.0 out of 5 stars,"4,901",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7
LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,₹439,3.9 out of 5 stars,31,https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹224,3.7 out of 5 stars,"6,823",https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹398,4.1 out of 5 stars,"9,457",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black,₹899,3.9 out of 5 stars,969,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2
Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),₹427,4.3 out of 5 stars,"7,619",https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹799,3.8 out of 5 stars,"2,969",https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,₹899,4.0 out of 5 stars,711,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),₹549,3.9 out of 5 stars,"7,659",https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,₹269,4.0 out of 5 stars,"3,676",https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV
Arctic Fox 15 Liters Draw String Bag Lavender Backpack,₹229,4.3 out of 5 stars,"3,387",https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹849,4.3 out of 5 stars,"5,467",https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5
"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",₹599,4.0 out of 5 stars,"1,446",https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB
Gear Cello Classic Anti Theft Faux Leather 20 Ltrs Navy Laptop Backpack (LBPCLSLTH0519),₹987,4.4 out of 5 stars,"6,492",https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0519/dp/B07G4JQX2F
"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",₹680,3.6 out of 5 stars,179,https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR
Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),₹512,4.0 out of 5 stars,"6,184",https://www.amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK
"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",₹599,3.8 out of 5 stars,896,https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5
"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)","₹1,599",4.4 out of 5 stars,"2,165",https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5
Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),"₹1,439",4.5 out of 5 stars,"4,024",https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333
"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","₹1,329",4.1 out of 5 stars,559,https://www.amazon.in/FUR-JADEN-Backpack-Accessories-Organiser/dp/B0BSHBH9K2
FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,₹839,4.0 out of 5 stars,"13,798",https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY
"Walkent Stylish 15.6"" Laptop Bag (Model Ritzy) Hi-Quality PU, Waterproof, Anti Theft, External USB, Scratch Resistant for Office College Men Women","₹2,809",4.3 out of 5 stars,118,https://www.amazon.in/Ritzy-Waterproof-Hi-Quality-External-Resistant/dp/B09Q172X7J
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹929,3.8 out of 5 stars,856,https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG
Safari Sheild 26 Ltrs Water Resistant Casual Backpack - (SHEILD19CBBLK),₹699,3.9 out of 5 stars,"1,102",https://www.amazon.in/Safari-Sheild-Resistant-Casual-Backpack/dp/B09B26T7KQ
Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,₹843,4.0 out of 5 stars,"6,082",https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q
"Lenovo 15.6"" Casual Backpack B210",₹749,4.1 out of 5 stars,"18,648",https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ
"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",₹949,3.8 out of 5 stars,"1,017",https://www.amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9
ADISA 31 Ltrs Casual Backpack School College Bag Pack,₹399,3.8 out of 5 stars,124,https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black),₹448,4.3 out of 5 stars,"13,084",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q
"Storite Dust & Rain Cover for Backpack with Pouch, Waterproof Dustproof Rain Cover Bag Elastic Adjustable for School, College,Office, Trekking Bags (30L-35L,Black)",₹199,4.6 out of 5 stars,18,https://www.amazon.in/Storite-Backpack-Waterproof-Dustproof-Adjustable/dp/B0C7ZWNBJZ
"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",₹319,4.1 out of 5 stars,"9,457",https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN
Genie Flamenco2 Casual Backpacks for Women,₹729,4.3 out of 5 stars,"1,507",https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF9VHTY
DEIN KLEIDER Men's Nylon Messenger Bag,₹349,4.0 out of 5 stars,"5,131",https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M
"STRABO Cooper for Boys Girls Stylish Men and Women Casual 15"" inch 25L CANVAS Laptop BACKPACK | Office, College, Travel Bag",₹699,4.4 out of 5 stars,50,https://www.amazon.in/STRABO-Cooper-Laptop-Bag-Capacity/dp/B0BX9SVT1D
NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,₹470,3.9 out of 5 stars,828,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16
American Tourister Casual Backpack,"₹1,249",4.2 out of 5 stars,"4,049",https://www.amazon.in/American-Tourister-AMT-SCH-BAG02/dp/B07CGLDV2C
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"3,218",https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BHX7GY16
Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,₹512,4.0 out of 5 stars,"6,184",https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G
